loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,grade,annual_inc,issue_d,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_int,total_rec_late_fee,last_pymnt_d,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,term_ 36 months,term_ 60 months,emp_length_1 year,emp_length_10+ years,emp_length_2 years,emp_length_3 years,emp_length_4 years,emp_length_5 years,emp_length_6 years,emp_length_7 years,emp_length_8 years,emp_length_9 years,emp_length_< 1 year,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding
10000,10000,9700,0.1112,218.03,1,44304,5,11.57,0,1,7,0,8840,0.597,27,0,0,0,13081.26,12688.82,3081.26,0,65,240.94,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8400,8400,8400,0.0788,262.77,0,70000,5,13.1,0,0,16,0,13722,0.584,41,0,0,0,9206.079756,9206.08,806.08,0,27,4480.35,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23000,23000,22700,0.1361,530.54,2,83000,5,10.74,0,0,16,0,23779,0.729,23,0,0,0,29415.14415,29031.47,6415.14,0,46,4141.29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25000,16525,16440.9,0.1521,394.96,3,150000,5,10.53,0,0,5,0,66313,0.932,20,0,0,0,9751.49,9650.56,4180.78,0,29,27.6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4800,4800,4800,0.0714,148.52,0,77000,5,16.39,0,0,8,0,9131,0.237,11,0,0,0,5338.002696,5338,538,0,43,738.09,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8000,8000,8000,0.0676,246.14,0,125000,5,7.29,0,1,7,0,1979,0.471,23,0,0,0,8861.186307,8861.19,861.19,0,41,257.66,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5000,5000,5000,0.1038,162.23,1,69996,5,11.64,0,2,16,0,5054,0.085,60,0,0,0,5840.406176,5840.41,840.41,0,41,164.19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5000,5000,5000,0.1398,170.84,2,65000,5,0.92,0,0,4,0,2241,0.498,6,0,0,0,6138.766119,6138.77,1138.77,0,36,677.89,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1500,1500,1500,0.0788,46.93,0,65004,5,4.14,0,1,10,0,7171,0.383,22,0,0,0,1687.479139,1687.48,187.48,0,36,188.65,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,2000,2000,0.1398,68.34,2,33600,5,4.32,0,2,2,0,0,0,3,0,0,0,2491.124575,2491.12,461.12,30,41,73.15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11500,7875,7800,0.1756,198.1,4,38400,5,22.22,0,2,11,0,7802,0.813,14,0,0,0,5562.15,5509.61,2774.92,0,40,300,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10500,10500,7607.64,0.1558,366.98,3,50000,5,20.95,0,1,9,0,5236,0.595,23,0,0,0,733.96,732,269.37,0,11,366.98,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4000,4000,3950,0.1149,131.89,1,35004,5,1.1,0,0,2,0,1065,0.095,12,0,0,0,4467.772993,4411.93,467.77,0,22,1726.52,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9150,9150,9100,0.1323,209.27,2,36000,5,20.77,0,0,9,0,15111,0.804,27,0,0,0,12556.15999,12487.55,3406.16,0,65,219.42,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11200,11200,11150,0.1595,272.07,3,48000,5,19.7,0,0,11,0,10456,0.823,11,0,0,0,16323.73002,16250.86,5123.73,0,65,300.56,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,10000,9925,0.1398,232.58,2,29000,5,13.66,0,3,5,0,7232,0.964,16,0,0,0,11305.18447,11220.4,1305.19,0,17,8751.62,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,12000,12000,0.1361,407.87,2,52000,5,10.32,0,3,11,0,16733,0.456,20,0,0,0,14340.51065,14340.51,2340.51,0,29,4979.7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1200,1200,1200,0.1472,41.44,2,64500,5,19.03,0,2,17,0,14863,0.917,27,0,0,0,1243.19,1243.19,43.19,0,9,0.28,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8000,8000,8000,0.1595,281.06,3,70000,5,8.49,0,2,3,0,17524,0.701,4,0,0,0,10002.61583,10002.62,2002.62,0,43,62.94,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25000,17025,16432.92013,0.1186,377.51,1,56000,5,3.09,0,0,13,0,21666,0.513,35,0,0,0,6795.18,6084.9,2687.31,0,28,377.51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,6000,5975,0.1149,197.83,1,82000,5,17.31,0,1,6,0,48614,0.626,21,0,0,0,5363.11,5340.8,782.49,0,14,197.83,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11000,11000,11000,0.0751,342.22,0,75000,5,0,0,1,11,0,0,0,36,0,0,0,11701.38197,11701.38,701.38,0,14,240.97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2400,2400,2400,0.1323,81.14,2,64800,5,11.11,0,0,8,0,13036,0.785,24,0,0,0,2806.756785,2806.76,406.76,0,31,1266.36,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10000,10000,10000,0.1361,339.89,2,59650,5,9.17,0,0,4,1,5054,0.825,21,0,0,0,12215.95047,12215.95,2215.95,0,44,940.67,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,6000,6000,0.1682,148.54,4,34800,5,24.26,1,0,13,0,0,0,14,0,0,0,8911.970011,8911.97,2911.97,0,65,177.68,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5000,5000,4925,0.1186,165.74,1,80000,5,7,0,1,12,0,15840,0.53,16,0,0,0,5362.506733,5282.07,362.51,0,19,4206.33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4000,4000,3975,0.0676,123.07,0,26000,5,10.62,0,1,7,0,30,0.002,10,0,0,0,4182.16186,4156.02,182.16,0,12,3201.83,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6000,6000,6000,0.1186,198.89,1,68004,5,1.78,0,0,6,0,2846,0.335,38,0,0,0,7160.79308,7160.79,1160.79,0,41,228.91,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17000,17000,17000,0.1682,604.58,4,49896,5,10.8,0,0,8,0,15703,0.94,11,0,0,0,20937.62692,20937.63,3937.63,0,32,8279.11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1750,1750,1750,0.0676,53.85,0,12996,5,7.48,0,0,6,0,2867,0.167,6,0,0,0,1813.757491,1813.76,63.76,0,15,1491.47,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6000,6000,6000,0.1521,208.61,3,75000,5,13.81,0,1,11,0,7092,0.763,18,0,0,0,7510.474422,7510.47,1510.47,0,41,232.43,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,2000,2000,0.1472,69.06,2,33204,5,12.69,0,0,3,0,1104,0.789,4,0,0,0,2488.145215,2488.15,488.15,0,41,76.33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10000,10000,9975,0.0788,312.82,0,40000,5,23.7,1,0,18,0,10107,0.184,27,0,0,0,11261.6993,11233.55,1261.7,0,41,323.11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1000,1000,1000,0.0676,30.77,0,20500,5,9.48,0,0,7,0,4356,0.343,27,0,0,0,1107.649903,1107.65,107.65,0,41,32,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20500,13750,13700,0.1361,317.17,2,45400,5,19.35,0,1,8,0,33003,0.831,16,0,0,0,19029.78574,18960.59,5279.79,0,65,342.3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,5000,5000,0.0676,153.84,0,82000,5,9.91,0,0,12,0,4831,0.112,28,0,0,0,5363.440468,5363.44,363.44,0,21,3064.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24000,15525,7100,0.1112,338.49,1,68240,5,11.99,0,2,6,0,1726,0.061,20,0,0,0,16753.49726,7661.86,1228.5,0,12,14049.03,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25000,16350,15025,0.1645,578.46,4,107280,5,12.83,1,0,10,0,24871,0.885,19,0,0,0,19170.37674,17616.81,2820.38,0,22,11084.62,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,6000,6000,0.1038,194.68,1,92004,5,9.12,0,1,8,0,7271,0.32,13,0,0,0,7008.853106,7008.85,1008.85,0,41,200.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,6000,6000,0.1075,195.73,1,35004,5,22.76,0,1,11,0,7764,0.384,17,0,0,0,4825.01,4825.01,912.2,0,29,195.73,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4000,4000,3975,0.0751,124.45,0,51500,5,14.56,0,1,11,1,23313,0.445,23,0,0,0,4480.046135,4452.05,480.05,0,41,138.33,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5125,5125,5125,0.1186,169.89,1,60000,5,10.16,0,0,6,0,12674,0.812,17,0,0,0,6106.230987,6106.23,981.23,0,36,689.25,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24250,15025,13725,0.1941,553.88,5,300000,5,9.61,1,2,5,0,51911,0.93,34,0,0,0,15268.82,13947.78,243.82,0,1,15269.61,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12500,12500,12500,0.1558,301.2,3,80000,5,16.5,0,2,16,0,5628,0.654,40,0,0,0,15374.94799,15374.95,2874.95,0,31,9653.51,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4000,4000,4000,0.0788,125.13,0,56800,5,5.39,0,0,8,0,9373,0.277,13,0,0,0,4498.917819,4498.92,498.92,0,36,400.08,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7800,7800,7800,0.1558,272.62,3,36928.26,5,24.37,0,1,5,0,4804,0.739,11,0,0,0,4089.3,4089.3,1270.02,0,22,272.62,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5000,5000,5000,0.0788,156.41,0,62000,5,8.94,0,3,4,0,3853,0.26,17,0,0,0,5496.257172,5496.26,496.26,0,31,2528.9,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9500,9500,9500,0.1904,348.43,5,23040,5,8.65,0,2,2,0,6806,0.972,3,0,0,0,7138.56,7138.56,2360.64,14.96160262,24,348.43,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25000,25000,24025,0.1075,815.52,1,85000,5,0.17,0,0,6,0,12,0,26,0,0,0,26067.73464,25051.13,1067.73,0,15,19.02,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4800,4800,4800,0.0751,149.34,0,110000,5,10.97,1,0,8,0,0,0,21,0,0,0,5376.057343,5376.06,576.06,0,37,167.35,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14400,14400,14025,0.1112,313.96,1,92000,5,0.63,0,0,5,0,313,0.025,11,0,0,0,18369.82571,17891.44,3969.83,0,51,5531.58,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19000,13500,13175,0.1149,296.84,1,40000,5,21.12,0,0,12,0,21481,0.754,17,0,0,0,13403,13079.42,3918.25,0,48,83.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5000,5000,4975,0.1756,125.78,4,44904,5,1.82,0,1,8,0,2566,0.474,14,0,0,0,6046.322623,6016.09,1046.32,0,28,1166.33,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12800,12800,12750,0.1075,417.55,1,85000,5,8.75,1,1,8,0,11944,0.517,25,0,0,0,14868.5392,14810.46,2068.54,0,33,4025.68,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25000,17925,17675,0.1398,416.9,2,69996,5,8.09,0,1,4,0,20574,0.88,8,0,0,0,19567.63,19294.93,6561.06,0,54,28.98,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17000,12800,12375,0.1186,283.83,1,72000,5,11.92,0,0,19,0,16159,0.407,49,0,0,0,16921.07,16359.24,4121.07,0,63,208.77,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3900,3900,3900,0.1435,133.96,2,67320,5,19.79,0,0,6,0,42488,0.7026,22,0,0,0,4287.147353,4287.15,387.15,0,13,419.33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5000,5000,5000,0.0751,155.56,0,50000,5,0.36,0,1,4,0,1172,0.057,9,0,0,0,5216.3783,5216.38,216.38,0,20,2622.1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18000,18000,17925,0.1645,442.05,4,65000,5,14.03,0,0,13,0,22599,0.669,22,0,0,0,26522.13003,26411.62,8522.13,0,61,473.01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,5000,5000,0.0788,156.41,0,50000,5,11.33,0,1,8,0,13063,0.656,38,0,0,0,4153.42,4153.42,574.62,0,34,156.41,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10000,10000,9900,0.1323,228.71,2,85603,5,16.99,0,0,18,0,19049,0.43,28,0,0,0,13722.59,13585.36,3722.59,0,61,242.16,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5000,5000,4900,0.1075,108.09,1,43000,5,17,0,0,7,0,4420,0.619,18,0,0,0,6276.69268,6151.16,1276.69,0,45,2172.12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,5000,5000,0.1719,124.78,4,38400,5,23.88,0,0,9,0,9281,0.928,11,0,0,0,7486.27,7486.27,2486.27,0,61,129.11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15000,15000,15000,0.1558,361.44,3,80000,5,23.41,0,1,9,0,35762,0.648,18,0,0,0,21203.20096,21203.2,6203.2,0,49,3235.98,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7750,7750,7725,0.1558,270.87,3,24000,5,12.2,0,2,5,0,678,0.484,11,0,0,0,9714.969764,9683.63,1964.97,0,42,476.07,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7000,7000,6949.36501,0.1038,150.05,1,19896,5,4.95,0,2,14,0,437,0.01,34,0,0,0,9002.340005,8936.98,2002.34,0,61,173.43,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13500,13500,13091.24551,0.1112,294.34,1,68000,5,13.18,0,3,11,0,14500,0.401,30,0,0,0,17422.66195,16891.76,3922.66,0,53,3915.61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17600,17600,17600,0.1323,594.97,2,205000,5,0.34,0,0,6,0,1973,0.059,14,0,0,0,21419.82389,21419.82,3819.82,0,37,616.55,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6000,6000,5950,0.0788,121.32,0,124000,5,1.74,0,0,9,0,7985,0.117,25,0,0,0,7218.51718,7158.36,1218.52,0,49,1534.7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3050,3050,3050,0.0788,95.41,0,30000,5,3.36,1,1,5,0,3657,0.134,15,0,0,0,3227.763341,3227.76,177.76,0,18,2371.03,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4000,4000,3950,0.0639,122.4,0,60000,5,4.26,0,0,13,0,8471,0.124,35,0,0,0,4036.620783,3986.16,21.62,15,9,15.83,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5850,5850,5850,0.1112,191.86,1,46000,5,17.17,0,1,10,0,16531,0.492,11,0,0,0,6645.369275,6645.37,795.37,0,43,118.04,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8400,8400,8246.625875,0.1361,193.76,2,80000,5,12.46,0,2,6,0,13871,0.957,26,0,0,0,11436.39815,11225.91,3036.4,0,53,2547.34,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17000,17000,16725,0.1361,577.81,2,100000,5,13,0,2,10,0,12899,0.574,15,0,0,0,20062.63491,19738.09,3062.63,0,32,8549.32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21000,21000,20750,0.1149,692.4,1,100800,5,7.02,0,0,12,0,18598,0.702,24,0,0,0,24926.73303,24629.99,3926.73,0,37,731.75,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10000,10000,9950,0.1756,251.55,4,127000,5,12.59,0,1,15,0,13375,0.305,27,0,0,0,13878.63206,13809.24,3878.63,0,44,5845.09,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3000,3000,3000,0.1075,97.87,1,28692,5,17.4,0,2,10,0,3417,0.338,18,0,0,0,3523.062095,3523.06,523.06,0,37,106.97,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4000,4000,4000,0.1361,135.96,2,35600,5,16.52,0,1,15,0,2091,0.455,21,0,0,0,4698.322572,4698.32,698.32,0,32,25.67,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4000,4000,3975,0.1112,131.19,1,15708,5,1.15,0,6,4,0,299,0.018,26,0,0,0,4264.529259,4237.88,264.53,0,12,2584.14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3500,3500,3500,0.0676,107.69,0,108000,5,19.76,0,0,9,0,18505,0.762,37,0,0,0,3876.817008,3876.82,376.82,0,37,123.76,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4400,4400,4357.909352,0.0676,135.38,0,23000,5,6.73,0,0,8,0,5379,0.224,13,0,0,0,4873.798157,4827.11,473.8,0,37,156.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15000,15000,14950,0.1435,515.22,2,75000,5,12.38,0,1,9,0,16082,0.825,20,0,0,0,17672.52636,17613.62,2672.53,0,31,8420.78,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25000,25000,24900,0.1558,873.76,3,140004,5,8.7,0,1,8,0,32482,0.485,17,0,0,0,30188.29061,30067.54,5188.29,0,32,12746.85,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7500,7500,7500,0.1186,248.61,1,39996,5,22.86,0,0,9,0,6986,0.884,19,0,0,0,8950.895986,8950.9,1450.9,0,37,283.61,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
